,text,hate
205,এই‌‌ রকম ছেলেকে গুলি করে মারা উচিত,1
206,এই রকম ছেলেকে পিটিয়ে মারা উচিতকি বলেন আপনারা,1
207,এই রকম ছেলেকে পুড়িয়ে মারা উচিত,1
208,এই রকম ছেলেকে মেরে ফেলা উচিৎ,1
209,এই রকম ছেলেদের মেরে ফেলা উচিত,1
210,এই রকম লোকের গলায় পা দিয়ে মারা উচিত,1
211,এই লোকটা কে মেরে ফেলা উচিত,1
212,এই লোকটাকে দরকার ছিল হাতদুইটা কেটে পেলেদেওয়া,1
213,এই লোকের হাত কেটে দেওয়া উচিৎ,1
214,এই সন্তআন দংস হোক,1
215,এই সন্তানকে গন পিটুনি দিয়ে মেরে ফেলা উচিত,1
216,এই সব অমানুষদের পা জুলিয়ে পেটানো দরকার করতে হবে,1
217,এই সব গুদ মারোনো দের কোপানো দরকার,1
218,এই সব ছেলে মেয়ে দের জুতা পিটা করার দরকার আছে,1
219,এই সব ছেলেকে কচু কাটা করতে হয়,1
220,এই সব ছেলেকে মেরে ফেলা উচিত,1
221,এই সব বিচারক রে ঘার ধরে বের করা দরকার,1
222,এই সব মাজার ভক্তদের শিরচ্ছেদ করা উচিত,1
223,এই সব হুজুর কে পিটিয়ে বের করা দরকার,1
224,এই সমস্ত লোকদের গোলি করে মেরে ফেলা উচিত,1
225,এইটা কে গুলি করে মারা উচিৎ,1
226,এইটা কোন যায়গায় আল্লাহ গুজব পড়ুক,1
227,এইটা জিকির না সয়তানি জুতা দিয়ে পিটানো দরকার,1
228,এইরকম ছেলেকে পিটিয়ে মেরে ফেলা উচিত,1
229,এইরকম নরপিশাচদের গণপিটুনিতে মেরে ফেলা উচিত,1
230,এইসব ছেলেদের জবাই করে দেওয়া উচিত,1
231,এক কোপে ওর গলা নামিয়ে দিতে হবে,1
232,এক থাপ্পড় দিয়া সাবস্ক্রাইব ছুটায়া দিবো,1
233,এক থাপ্পড়ে দাঁত হালায়া দিমু,1
234,এক দিন ওোরো ছেলে ওকে এই ভাবে মারবে,1
235,এক বারে মেয়ে ওকে রাস্তায় ফেলে মারা দরকার,1
236,একট আংগুল কেটে ফেলের দরকার,1
237,একদম ঠিক হয়েছে এরকম ছেলেকে জুতা খুলে পেটানো উচিত,1
238,একরাতের জন্য রেট কত এডমিন প্রতি শর্ট কত জানাবেন,1
239,একে টাকা দিলে চুদা যায়,1
240,একে আগুন দিয়া পুরাইয়া মারা হউক,1
241,একে এখনি মেরে ফেলে উচিত,1
242,একে খোলা রাস্তায় পিটানো উচিত,1
243,একে গুলি করে মারা হুক,1
244,একে চুত্রা মারার দরকার,1
245,একে জন সাধারণ কে দেওয়া হক আমরাও একটু পেনটি খুলমু,1
246,একে জনগনের সামনে পিটূনি দাউয়া দরকার,1
247,একে জুতা মারো তালে তালে,1
248,একে জুতো পিটে করা হোক,1
249,একে জ্যান্ত পঁুতে ফেলা হউক,1
250,একে ধরে মারা উচিত,1
251,একে মেরে এর চোদ্দোগুষ্টির নাম ভুলিয়ে দেওয়া উচিত,1
252,একে মেরে পালা উচিত,1
253,একে মেরে পেল ভাই,1
254,একে মেরে ফেলা উচিত,1
255,একে মেরে ফেলা হক,1
256,একে যদি পাইতাম এর পুটকিতে গরম ডিম ঢুকাইতাম,1
257,এখানে যতগুলো আছে সব জাহান্নামের আগুনে পুড়বে,1
258,এখানে সব কয়টা মারে চুদি,1
259,এখোন জুাতা মারো মেকে,1
260,এগুলা কে ধরে জুতাপেটা করা কাম,1
261,এগুলো ওয়াজ না অসভতা দীনের কোন কথা বলেনা জুতা মার,1
262,এগুলো কে ঝাড়ু পিটা করার দরকার ভন্ডদের কে,1
263,এগুলো কে পিটানো দরকার,1
264,এটা ঠিক না তোরা দুই জনে মিলে তাসকিনকে মারো,1
265,এটাকে ঝাড়ু দিয়ে পেটানো উচিত,1
266,এডমিন কে ধরে মারা দরকার কার সঙ্গে কার তুলনা,1
267,এডমিনের মা বোনকে চুদি,1
268,এত খারাপ মানুষওকে ডিম থেরাপি দিতে হবে,1
269,এত গুলো মানুষ বোদা চুসসে এখন দারি দারি হুম,1
270,এতাকে চুদা দিয়া লাগবে,1
271,এতের উপর গজব পরুকআল্লাহ,1
272,এদে হেডা দীয়া ডিম গরম করে দেন,1
273,এদেকে সেদ্দ গরম ডিম থ্যেরাপি দেয়া দরকার,1
274,এদের উল্টো করে মাথা পানিতে ডুবিয়ে পেটানো উচিৎ,1
275,এদের কে আগুনে পুরিয়া মারা উচিত,1
276,এদের কে কুত্তা পেটা দিতে হবে,1
277,এদের কে গলায়ে দরি দিয়ে মারা ওচিত,1
278,এদের কে জুতা দিয়ে মারা দরকার,1
279,এদের কে জুতা মারা উচিত,1
280,এদের কে জোতা দিয়ে পিটিয়ে মেরে ফেলা উচিত,1
281,এদের কে বন্দুকের নল ঢুকিয়ে গুলি করে মারা উচিৎ,1
282,এদের কে মাটিতে রেখে জুতা স্যান্ডেল মারা দরকার,1
283,এদের কে মেরে ফেলা উচিত,1
284,এদের কে যদি রাস্তা পেলেই পিটাইত,1
285,এদের কে যেন জুতা মারা উচিদ,1
286,এদের জুতা মারা দরকার,1
287,এদের তো জনসম্মুখে জুতা পেটা করা উচিত,1
288,এদের দুজনকে জনগনের সামনে হত্যা করা হোক,1
289,এদের প্রত্যেক কে টা করে জুতার বাড়ি দেয়া হোক,1
290,এদের প্রত্যেকটা কে জুতা পিটা করা উচিত,1
291,এদের মতো ছেলে কে গুলি করে মেরে ফেলা উচিৎ,1
292,এদের মুখে জুতার বারি মারা দরকার,1
293,এদের সবার উপর আল্লাহ গজব পরক,1
294,এদের স্বচোক্ষে গুলি করে মারা উচিত,1
295,এদেরকে জিন্দা পুড়া উচিৎত,1
296,এদেরকে জুতা দিয়ে পিটানো হোক,1
297,এদেরকে জুতা পিটা করে বাংলাদেশ তেকেবের করতে হবে,1
298,এদেরকে পাইলে জুতা মারতাম,1
299,এবার সব গুলোকে জুতা মারা শুরু,1
300,এমন ছেলে কে কুপিয়ে হত্যা করা উচিত,1
301,এমন ছেলেকে কুপানো দরকার,1
302,এমন ছেলেকে গায়ে আগুন দিয়ে মারা উচিত,1
303,এমন ছেলেকে জবাই দেয়া দরকার,1
304,এমন ছেলেকে জুতা দিয়ে পিটানো উচিত,1
305,এমন ছেলেকে জুতা দিয়ে পিটিয়ে এলাকা ছাড়া করা উচিৎ,1
306,এমন ছেলেকে জুতা মারা দরকার,1
307,এমন ছেলেকে পিটিয়ে মেরে ফেলো সবাই,1
308,এমন ছেলেকে বিষ খাইয়ে মারে ফেলা ইচিত,1
309,এমন ছেলেকে মেরে ফেলা দরকার ছিলো,1
310,এমন ছেলেকে মেরে ফেলা ভাল,1
311,এমন ছেলেকে মেরে ফেলার দরকার,1
312,এমন ছেলেরে জীবীত পুরায় মার,1
313,এমন মেয়ে গুলাকে চুদন বাদে কোন কথা নাই,1
314,এমন মেয়েকে পুরিয়ে মারা উচিত,1
315,এমন লোককে গুলি করা মারা হোক,1
316,এমন সন্তান কে মাটিতে পুইতা পাথর মারা উচিত,1
317,এমন সন্তানকে মাটিতে জীবিত পুঁতে ফেলা উচিত,1
318,এর দুইটা হাত কেটে দেওয়া হোক,1
319,এর পুটকি বায় রড ডুকিয়ে রাস্তায় রাখা উচিত,1
320,এর বর বাইট্টা কুত্তারে কাবানি উচিত,1
321,এর বিচার না হলে এই হিন্দুর গুষ্টি চুদে দিবো,1
322,এর বৌউর কথায় মনে হয় মারছে হের বৌউরে সবাই মার,1
323,এর মতো কুলানগারের ফাঁশি হয়া ইচিৎ,1
324,এর শরীরের মাংস কুকুর দিয়ে খাওয়ানো উচিত,1
325,এর সোনার মধ্যা দৌরা মার,1
326,এর হাত কেটে দিন হাত কাটেন প্লিজ,1
327,এর হাত কেটে দেওয়া দেওয়া উচিৎ,1
328,এর হাত দুইটা কেটে ফেলা দরকার,1
329,এর হোল কেটে কুকুর দিয়ে খাওয়াতে হবে,1
330,এরকম ছেলে কে কুপিয়ে মারা উচাত,1
331,এরকম ছেলেকে কুচি কুচি করে কাটা দরকার,1
332,এরকম ছেলেকে হাত ভেঙে দেওয়া উচিত,1
333,এরকম জাজ এর গুষ্ঠি চুদী,1
334,এরকম মহিকে মেরেপেলাউচিত,1
335,এরকম লোকদের গরম তেলে ভাজা উচিত,1
336,এরকম শিক্ষককে জুতা দিয়ে মারতে হবে,1
337,এরকম সন্তানকে পিটিয়ে মারা উচিত,1
338,এরা জাহান্নামী,1
339,এরে কুত্তা দিয়ে চুদানো উচিৎ,1
340,এরে কুত্তা দিয়ে চুদে মেরে ফেলা হোক,1
341,এলাকাবাসী হাত পা ভেঙে দেয় না কেন,1
342,এসব ছাত্রলীগের সব গুলারে কুবা,1
343,এসব ছেলে কে গুলি করে মারা উচিত,1
344,এসব ছেলে মেয়ে কে জলান্ত আগুনে পরানো হক,1
345,এসব ছেলেকে জুতা পেটা করে মারা দরকার,1
346,এসব জানোয়ার কে গনো ধুলাই দেয়া উচিত,1
347,এসব শাশুড়ি কে জুতা দিয়া পিটানু উচিত,1
348,পুলিশকে বহিসকার জুতা মারা হক,1
349,কই আছে ওরে আমি খুন করবো,1
350,কি ছেলে আমি জুতা দিয়ে পিটাইতে চাই,1
351,ছেলেকে কুত্তা দিয়া খাওয়ানো হোক,1
352,যদি আমার এলাকার হয়তোওরে মাইরা পিচ পিচ করতাম,1
353,শালার জুতা দিয়ে পিটা,1
354,স্যার কে জুতা পিঠালে ভালো হবে,1
355,ওই কাংখির পোলার লিঙ্গ কেটে ফেলা হোক,1
356,ওই ছেলেকে জবাই করা উচিৎ,1
357,ওই ছেলেটা কে আগুনে পুড়িয়ে মারা দরকার,1
358,ওই ডিসির মাইয়া থাকলেও ডিসির মাইয়ারে আমি চুদিবো,1
359,ওই তোর মারে চূদি,1
360,ওই পোলারে মারলো কেন মানুষ আগে গন ধোলাই দিত তারে,1
361,ওই বেটি সবাই কে চোদা দেতোর খুব শখ,1
362,ওক মরে ফেলেন,1
363,ওকে আমাদের হাতে ছেড়ে দেন দেখেন কি করি,1
364,ওকে আমার হাতে তুলে দে,1
365,ওকে আমি কাছে ফেলে মেরে পেলতাম,1
366,ওকে আমি হাতের কাছে পেলে দা দিয়ে কুপিয়ে মারতাম,1
367,ওকে এসিডে ঝলসে মার,1
368,ওকে ওপেন গুলি করে দেওয়া হউক,1
369,ওকে কি এখনো বাচিয়ে রাখছে,1
370,ওকে কুওা দিয়ে চোদাতে হবে তাহলে ভার্জিনিটি ভাঙবে,1
371,ওকে কুততা দি য়ে মারো,1
372,ওকে কুত্তা দিয়া চুদানো হোক,1
373,ওকে কুত্তায় কামড়ানো উচিৎ,1
374,ওকে কেটে ফেলো,1
375,ওকে কেনো বাচিয়ে রাখছেন হোয়াই,1
376,ওকে কোন খানকির পোলা করতে বলছে তো ভাল ছিল,1
377,ওকে কোরবানি করা উচিত,1
378,ওকে ক্রস ফায়ার দেওয়া হোক,1
379,ওকে গণ্য পিটুনি দিন,1
380,ওকে গন চুদা দেওয়া দরকার,1
381,ওকে গন সম্মুখে পিটিয়ে মারলেন না কেন,1
382,ওকে গরুর মত জবাই করে মাংস গুলো কুকুরকে খাওয়ান,1
383,ওকে চরম ধুলাই দেও,1
384,ওকে জনগনের হাতে দিয়ে দেও,1
385,ওকে জন্ম দেওয়ার সময় মেরে ফেলা উচিত ছিল,1
386,ওকে জুতা পিটা করা দরকার,1
387,ওকে জুতা পিটা করে বেরকরে দেয়া,1
388,ওকে জুতা পেটা করা উচিত৷ শুধু তাই নয়,1
389,ওকে জেনত ফুরিয়ে মেরে ফেলাহোক,1
390,ওকে তো আমার মেরে ফেলতে ইচ্ছে করছে,1
391,ওকে পরনের কাপড় খুলে মারতে মারতে নেওয়া উচিত ছিল,1
392,ওঁকে পানিতে ডুবিয়ে মারা উচিত,1
393,ওকে পিচ পিচ করে কাটা দরকারকে কে রাজি,1
394,ওকে বুলেট ফায়ার করা দরকার,1
395,ওকে ব্লেড দিয়ে কেটে কেটে মেরে ফেলা উচিত,1
396,ওকে ভালো করে ধোলাই করা উচিত,1
397,ওকে যদি পেতাম সামনে গায়ের জ্বালা মিটিয়ে নিতাম,1
398,ওকে রাইজের সামনে নিয়ে এসে মারা উচিত,1
399,ওকে রাস্তায় ফেলে মারা উচিত,1
400,ওকে সরির কেটে কেটে লবন ঘসে মেরে ফেলুন,1
401,ওকে হত্তা করা হুক,1
402,ওকে হাত পা বেদে জুলিয়ে পিটিয়ে মেরে ফেলা হোক,1
403,ওগে মায়রে চোদজে আওয়ামিলিগের মায়রে,1
404,ওদের কপালে জুতার বারি মারি,1
405,ওদের কুঁচি কুঁচি করে নদীতে ফেলে দেয়া উচিত,1
406,ওদের মাডার করে মরতে পারলে সেই মাসুদ রানা হবে,1
407,ওদের মুখে ঝাটার বারি মার,1
408,ওদের যেখানে পাও সেখানে জুতা মারো,1
409,ওদের লাথি মারা হউক,1
410,ওদেরকে আমি খুন করবে,1
411,ওদেরকে জুতা পিটাকরা উচিত,1
412,ওদেরকে ধইরা কুরবানী করা উচিত,1
413,ওদেরকে বাঁশ দিয়ে ঝাও,1
414,ওনাকে সবাই মিলে ওর পেট টা ফাটিয়ে দিন,1
415,ওপু কে চুদতে চাই কতটাকা লাগবে,1
416,ওপু বিশ্বাসের মুখে যুতা মারি,1
417,ওভারএ্যাকটিং তোদের হোগা মারছে,1
418,ওর উপর আল্লার গজব পরবে,1
419,ওর উপর আল্লাহর গজব পরবে,1
420,ওর উপর আল্লাহর গজব হক,1
421,ওর গলা আমি আমার হাতে কাটতে চাই,1
422,ওর গলায় পাশ দিয়ে তারপর মারতে হবে,1
423,ওর গায়ে আগুন জ্বালিয়ে দেওয়া উচিৎ,1
424,ওর গালে গালে থাপ্পড় মারতে মারতে মেরে পেলা উচিত,1
425,ওর গুয়া দিয়া পিচ শিদ্ধো ডিম দে,1
426,ওর গোয়ায় বাশ দে,1
427,ওর টা কেটে নেওয়া উচিৎ,1
428,ওর ঠিকানা দেনআমি ওকে মেরে ফেলতে চাই,1
429,ওর দুই চোখ উঠায় ফেলা উচিত,1
430,ওর দুই হাত কেটে ফেলা উচিত,1
431,ওর দুটু হাত কাটা উচিত,1
432,ওর দুটো হাত কেটে দেওয়া হোক,1
433,ওর দুদু তে ধন ঢুকিয়ে চুদবে,1
434,ওর দুধে আগুন দে,1
435,ওর ধোন কেটে দিন,1
436,ওর পিছনে গরম তেল ঢাল,1
437,ওর পুটকি দি রট দে,1
438,ওর পেছনে গরম রাজহাঁসের ডিম ঢুকাবেন,1
439,ওর বউকে লাগানো উচিত সবাই মিলে,1
440,ওর বউসহ ওকে কুকুরের মত পিটিয়ে মেরে ফেলা হোক,1
441,ওর ভোলার ভিতরে সিদ্ধ ডিম দেওয়া হোক,1
442,ওর মত ছেলে পৃথিবীতে বেচে থাকার চেয়ে না থাকাই ভাল,1
443,ওর মত ছেলেকে কুওা দিয়া চোদানো দরকার,1
444,ওর মত জানোয়ার কে এফ ডিসিথেকে বেরকরাহোক,1
445,ওর মত পুলারে মেরে ফেলা দরকার,1
446,ওর মতো কুকুরকে ফাসিঁ দেওয়া উচিত,1
447,ওর মতো ছেলে কে আল্লাহ গজব পালাক,1
448,ওর মা আর বোনরে সবাই গনহারে চোদেন,1
449,ওর মারে চোদ,1
450,ওর মারে চোদে,1
